gene	locus_number	method
TMED2	87	FOCUS_PIP_gt_0.5
LRCH1	88	FOCUS_PIP_gt_0.5
LRCH1	88	S-PrediXcan_COLOC_PPH4_gt_0.5
ACTR10	93	FOCUS_PIP_gt_0.5
ARID4A	93	FOCUS_PIP_gt_0.5
C14orf37	93	FOCUS_PIP_gt_0.5
LINC00216	93	FOCUS_PIP_gt_0.5
PSMA3	93	FOCUS_PIP_gt_0.5
ARID4A	93	S-PrediXcan_COLOC_PPH4_gt_0.5
LINC00216	93	S-PrediXcan_COLOC_PPH4_gt_0.5
ACYP1	94	FOCUS_PIP_gt_0.5
DLST	94	FOCUS_PIP_gt_0.5
EIF2B2	94	FOCUS_PIP_gt_0.5
MLH3	94	FOCUS_PIP_gt_0.5
RPS6KL1	94	FOCUS_PIP_gt_0.5
ZC2HC1C	94	FOCUS_PIP_gt_0.5
DLST	94	S-PrediXcan_COLOC_PPH4_gt_0.5
ACYP1	95	FOCUS_PIP_gt_0.5
DLST	95	FOCUS_PIP_gt_0.5
EIF2B2	95	FOCUS_PIP_gt_0.5
MLH3	95	FOCUS_PIP_gt_0.5
RPS6KL1	95	FOCUS_PIP_gt_0.5
ZC2HC1C	95	FOCUS_PIP_gt_0.5
GON7	96	FOCUS_PIP_gt_0.5
ITPK1	96	FOCUS_PIP_gt_0.5
ABHD17C	98	FOCUS_PIP_gt_0.5
ABHD17C	98	S-PrediXcan_COLOC_PPH4_gt_0.5
CDIP1	99	FOCUS_PIP_gt_0.5
CORO7	99	FOCUS_PIP_gt_0.5
DNAJA3	99	FOCUS_PIP_gt_0.5
HMOX2	99	FOCUS_PIP_gt_0.5
NMRAL1	99	FOCUS_PIP_gt_0.5
PAM16	99	FOCUS_PIP_gt_0.5
VASN	99	FOCUS_PIP_gt_0.5
CDIP1	99	S-PrediXcan_COLOC_PPH4_gt_0.5
CORO7	99	S-PrediXcan_COLOC_PPH4_gt_0.5
DNAJA3	99	S-PrediXcan_COLOC_PPH4_gt_0.5
HMOX2	99	S-PrediXcan_COLOC_PPH4_gt_0.5
NMRAL1	99	S-PrediXcan_COLOC_PPH4_gt_0.5
PAM16	99	S-PrediXcan_COLOC_PPH4_gt_0.5
BCAR1	100	FOCUS_PIP_gt_0.5
CFDP1	100	FOCUS_PIP_gt_0.5
TMEM170A	100	FOCUS_PIP_gt_0.5
BCAR1	100	S-PrediXcan_COLOC_PPH4_gt_0.5
CFDP1	100	S-PrediXcan_COLOC_PPH4_gt_0.5
TMEM170A	100	S-PrediXcan_COLOC_PPH4_gt_0.5
ZCCHC14	101	FOCUS_PIP_gt_0.5
HIC1	102	FOCUS_PIP_gt_0.5
RP11-667K14.3	102	FOCUS_PIP_gt_0.5
SGSM2	102	FOCUS_PIP_gt_0.5
SMG6	102	FOCUS_PIP_gt_0.5
HIC1	102	S-PrediXcan_COLOC_PPH4_gt_0.5
CD68	103	FOCUS_PIP_gt_0.5
CHRNB1	103	FOCUS_PIP_gt_0.5
MPDU1	103	FOCUS_PIP_gt_0.5
POLR2A	103	FOCUS_PIP_gt_0.5
SENP3	103	FOCUS_PIP_gt_0.5
SHBG	103	FOCUS_PIP_gt_0.5
SLC35G6	103	FOCUS_PIP_gt_0.5
TP53	103	FOCUS_PIP_gt_0.5
ZBTB4	103	FOCUS_PIP_gt_0.5
HOXB2	104	FOCUS_PIP_gt_0.5
HOXB3	104	FOCUS_PIP_gt_0.5
HOXB5	104	FOCUS_PIP_gt_0.5
HOXB6	104	FOCUS_PIP_gt_0.5
HOXB7	104	FOCUS_PIP_gt_0.5
PHB	104	FOCUS_PIP_gt_0.5
RP11-1079K10.3	104	FOCUS_PIP_gt_0.5
RP11-433M22.2	104	FOCUS_PIP_gt_0.5
HOXB2	105	FOCUS_PIP_gt_0.5
HOXB3	105	FOCUS_PIP_gt_0.5
HOXB5	105	FOCUS_PIP_gt_0.5
HOXB6	105	FOCUS_PIP_gt_0.5
HOXB7	105	FOCUS_PIP_gt_0.5
PHB	105	FOCUS_PIP_gt_0.5
RP11-1079K10.3	105	FOCUS_PIP_gt_0.5
RP11-433M22.2	105	FOCUS_PIP_gt_0.5
MRC2	106	FOCUS_PIP_gt_0.5
MRC2	106	S-PrediXcan_COLOC_PPH4_gt_0.5
RNF213	107	S-PrediXcan_COLOC_PPH4_gt_0.5
ENDOV	108	FOCUS_PIP_gt_0.5
RNF213	108	FOCUS_PIP_gt_0.5
SGSH	108	FOCUS_PIP_gt_0.5
SLC26A11	108	FOCUS_PIP_gt_0.5
RNF213	108	S-PrediXcan_COLOC_PPH4_gt_0.5
ATP13A1	113	FOCUS_PIP_gt_0.5
GATAD2A	113	FOCUS_PIP_gt_0.5
MAU2	113	FOCUS_PIP_gt_0.5
PBX4	113	FOCUS_PIP_gt_0.5
RFXANK	113	FOCUS_PIP_gt_0.5
ATP5SL	114	FOCUS_PIP_gt_0.5
B3GNT8	114	FOCUS_PIP_gt_0.5
B9D2	114	FOCUS_PIP_gt_0.5
EXOSC5	114	FOCUS_PIP_gt_0.5
TGFB1	114	FOCUS_PIP_gt_0.5
TMEM91	114	FOCUS_PIP_gt_0.5
B9D2	114	S-PrediXcan_COLOC_PPH4_gt_0.5
SLX4IP	115	FOCUS_PIP_gt_0.5
NOL4L	117	FOCUS_PIP_gt_0.5
PLAGL2	117	FOCUS_PIP_gt_0.5
POFUT1	117	FOCUS_PIP_gt_0.5
RP11-410N8.4	117	FOCUS_PIP_gt_0.5
RP11-410N8.4	117	S-PrediXcan_COLOC_PPH4_gt_0.5
EYA2	118	FOCUS_PIP_gt_0.5
KCNS1	118	FOCUS_PIP_gt_0.5
SLPI	118	FOCUS_PIP_gt_0.5
STK4	118	FOCUS_PIP_gt_0.5
ZMYND8	118	FOCUS_PIP_gt_0.5
KCNE2	119	FOCUS_PIP_gt_0.5
SLC5A3	119	FOCUS_PIP_gt_0.5
AP000318.2	119	S-PrediXcan_COLOC_PPH4_gt_0.5
KCNE2	119	S-PrediXcan_COLOC_PPH4_gt_0.5
LINC00310	119	S-PrediXcan_COLOC_PPH4_gt_0.5
MRPS6	119	S-PrediXcan_COLOC_PPH4_gt_0.5
SLC5A3	119	S-PrediXcan_COLOC_PPH4_gt_0.5
CCDC188	121	FOCUS_PIP_gt_0.5
TRMT2A	121	FOCUS_PIP_gt_0.5
CCDC188	121	S-PrediXcan_COLOC_PPH4_gt_0.5
